split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Spatial,62,A,train,OTHER_DISRUPTION,0.2395976223136717,0.6245530393325387,0.34633179114342366,839.0
Spatial,62,A,validation,NORMAL,0.7818181818181819,0.23497267759562843,0.36134453781512604,549.0
Spatial,62,A,validation,ACCIDENT,0.10975609756097561,0.21428571428571427,0.14516129032258066,84.0
Spatial,62,A,validation,OTHER_DISRUPTION,0.24737945492662475,0.6820809248554913,0.3630769230769231,173.0
Spatial,62,A,test,NORMAL,0.6796875,0.16893203883495145,0.27060653188180406,515.0
Spatial,62,A,test,ACCIDENT,0.15833333333333333,0.25675675675675674,0.1958762886597938,74.0
Spatial,62,A,test,OTHER_DISRUPTION,0.24015748031496062,0.7305389221556886,0.36148148148148146,167.0
Spatial,42,B,train,NORMAL,0.6752577319587629,0.3643226062773143,0.4732903225806452,2517.0
Spatial,42,B,train,ACCIDENT,0.12678741658722592,0.38328530259365995,0.19054441260744986,347.0
Spatial,42,B,train,OTHER_DISRUPTION,0.24691358024691357,0.3814064362336114,0.2997658079625293,839.0
Spatial,42,B,validation,NORMAL,0.6872964169381107,0.3843351548269581,0.4929906542056075,549.0
Spatial,42,B,validation,ACCIDENT,0.1274131274131274,0.39285714285714285,0.1924198250728863,84.0
Spatial,42,B,validation,OTHER_DISRUPTION,0.25,0.3468208092485549,0.29055690072639223,173.0
Spatial,42,B,test,NORMAL,0.6930379746835443,0.42524271844660194,0.5270758122743683,515.0
Spatial,42,B,test,ACCIDENT,0.1638418079096045,0.3918918918918919,0.23107569721115537,74.0
Spatial,42,B,test,OTHER_DISRUPTION,0.24334600760456274,0.38323353293413176,0.29767441860465116,167.0
Spatial,52,B,train,NORMAL,0.6968698517298187,0.3361144219308701,0.4534977217904047,2517.0
Spatial,52,B,train,ACCIDENT,0.11962134251290878,0.40057636887608067,0.18422796554009277,347.0
Spatial,52,B,train,OTHER_DISRUPTION,0.25470987189148453,0.4028605482717521,0.3120960295475531,839.0
Spatial,52,B,validation,NORMAL,0.6910569105691057,0.30965391621129323,0.4276729559748428,549.0
Spatial,52,B,validation,ACCIDENT,0.13870967741935483,0.5119047619047619,0.2182741116751269,84.0
Spatial,52,B,validation,OTHER_DISRUPTION,0.256,0.3699421965317919,0.30260047281323876,173.0
Spatial,52,B,test,NORMAL,0.6869918699186992,0.32815533980582523,0.44415243101182655,515.0
Spatial,52,B,test,ACCIDENT,0.12,0.32432432432432434,0.17518248175182483,74.0
Spatial,52,B,test,OTHER_DISRUPTION,0.267741935483871,0.49700598802395207,0.3480083857442348,167.0
Spatial,62,B,train,NORMAL,0.6783980582524272,0.22208978943186333,0.3346303501945525,2517.0
Spatial,62,B,train,ACCIDENT,0.11260904044409199,0.4092219020172911,0.17661691542288557,347.0
Spatial,62,B,train,OTHER_DISRUPTION,0.24598269468479605,0.47437425506555425,0.32397232397232395,839.0
Spatial,62,B,validation,NORMAL,0.6666666666666666,0.18579234972677597,0.2905982905982906,549.0
