split_scheme,seed,feature_level,partition,class,precision,recall,f1_score,support
Spatial,42,C,validation,ACCIDENT,0.1476510067114094,0.2619047619047619,0.1888412017167382,84.0
Spatial,42,C,validation,OTHER_DISRUPTION,0.2358974358974359,0.2658959537572254,0.25,173.0
Spatial,42,C,test,NORMAL,0.6693877551020408,0.6368932038834951,0.6527363184079602,515.0
Spatial,42,C,test,ACCIDENT,0.14754098360655737,0.36486486486486486,0.21011673151750973,74.0
Spatial,42,C,test,OTHER_DISRUPTION,0.1686746987951807,0.08383233532934131,0.112,167.0
Spatial,52,C,train,NORMAL,0.7039403620873269,0.26261422328168454,0.38252314814814814,2517.0
Spatial,52,C,train,ACCIDENT,0.1255301102629347,0.4265129682997118,0.19397116644823068,347.0
Spatial,52,C,train,OTHER_DISRUPTION,0.2561514195583596,0.48390941597139453,0.334983498349835,839.0
Spatial,52,C,validation,NORMAL,0.7157360406091371,0.2568306010928962,0.3780160857908847,549.0
Spatial,52,C,validation,ACCIDENT,0.13409961685823754,0.4166666666666667,0.2028985507246377,84.0
Spatial,52,C,validation,OTHER_DISRUPTION,0.2471264367816092,0.49710982658959535,0.33013435700575816,173.0
Spatial,52,C,test,NORMAL,0.7208121827411168,0.2757281553398058,0.398876404494382,515.0
Spatial,52,C,test,ACCIDENT,0.10582010582010581,0.2702702702702703,0.1520912547528517,74.0
Spatial,52,C,test,OTHER_DISRUPTION,0.22972972972972974,0.5089820359281437,0.3165735567970205,167.0
Spatial,62,C,train,NORMAL,0.7005714285714286,0.24354390147000396,0.361438679245283,2517.0
Spatial,62,C,train,ACCIDENT,0.12123613312202852,0.4409221902017291,0.19018023617153512,347.0
Spatial,62,C,train,OTHER_DISRUPTION,0.24904214559386972,0.464839094159714,0.32432432432432434,839.0
Spatial,62,C,validation,NORMAL,0.7210526315789474,0.2495446265938069,0.37077131258457374,549.0
Spatial,62,C,validation,ACCIDENT,0.12188365650969529,0.5238095238095238,0.19775280898876405,84.0
Spatial,62,C,validation,OTHER_DISRUPTION,0.2549019607843137,0.37572254335260113,0.3037383177570093,173.0
Spatial,62,C,test,NORMAL,0.6776315789473685,0.2,0.30884557721139433,515.0
Spatial,62,C,test,ACCIDENT,0.1329479768786127,0.3108108108108108,0.1862348178137652,74.0
Spatial,62,C,test,OTHER_DISRUPTION,0.2459396751740139,0.6347305389221557,0.35451505016722407,167.0
Spatial,42,D,train,NORMAL,0.679037111334002,0.5379419944378228,0.6003103524717358,2517.0
Spatial,42,D,train,ACCIDENT,0.11224489795918367,0.25360230547550433,0.15561450044208666,347.0
Spatial,42,D,train,OTHER_DISRUPTION,0.24432432432432433,0.2693682955899881,0.2562358276643991,839.0
Spatial,42,D,validation,NORMAL,0.7092198581560284,0.546448087431694,0.6172839506172839,549.0
Spatial,42,D,validation,ACCIDENT,0.13071895424836602,0.23809523809523808,0.16877637130801687,84.0
Spatial,42,D,validation,OTHER_DISRUPTION,0.23478260869565218,0.31213872832369943,0.2679900744416873,173.0
Spatial,42,D,test,NORMAL,0.6880530973451328,0.6038834951456311,0.6432264736297828,515.0
Spatial,42,D,test,ACCIDENT,0.13259668508287292,0.32432432432432434,0.18823529411764706,74.0
Spatial,42,D,test,OTHER_DISRUPTION,0.25203252032520324,0.18562874251497005,0.21379310344827587,167.0
Spatial,52,D,train,NORMAL,0.7332053742802304,0.30353595550258244,0.429334082607474,2517.0
Spatial,52,D,train,ACCIDENT,0.15092592592592594,0.4697406340057637,0.22845129642606868,347.0
Spatial,52,D,train,OTHER_DISRUPTION,0.2719797596457938,0.5125148986889154,0.35537190082644626,839.0
Spatial,52,D,validation,NORMAL,0.7142857142857143,0.36429872495446264,0.4825090470446321,549.0
Spatial,52,D,validation,ACCIDENT,0.125,0.36904761904761907,0.18674698795180722,84.0
Spatial,52,D,validation,OTHER_DISRUPTION,0.24100719424460432,0.3872832369942196,0.29711751662971175,173.0
Spatial,52,D,test,NORMAL,0.7280334728033473,0.3378640776699029,0.46153846153846156,515.0
Spatial,52,D,test,ACCIDENT,0.1232876712328767,0.24324324324324326,0.16363636363636364,74.0
Spatial,52,D,test,OTHER_DISRUPTION,0.23180592991913745,0.5149700598802395,0.31970260223048325,167.0
Spatial,62,D,train,NORMAL,0.6939799331103679,0.3297576479936432,0.447077834635066,2517.0
Spatial,62,D,train,ACCIDENT,0.11799163179916318,0.40634005763688763,0.1828793774319066,347.0
Spatial,62,D,train,OTHER_DISRUPTION,0.24390243902439024,0.3814064362336114,0.297536029753603,839.0
Spatial,62,D,validation,NORMAL,0.6770833333333334,0.3551912568306011,0.4659498207885305,549.0
Spatial,62,D,validation,ACCIDENT,0.11180124223602485,0.42857142857142855,0.17733990147783252,84.0
Spatial,62,D,validation,OTHER_DISRUPTION,0.24489795918367346,0.2774566473988439,0.2601626016260163,173.0
Spatial,62,D,test,NORMAL,0.6982758620689655,0.3145631067961165,0.43373493975903615,515.0
Spatial,62,D,test,ACCIDENT,0.13450292397660818,0.3108108108108108,0.18775510204081633,74.0
Spatial,62,D,test,OTHER_DISRUPTION,0.24645892351274787,0.5209580838323353,0.3346153846153846,167.0
