match_key,station_key,date,associated_parent_station_id,hour_str,flow,hour_int,flow_dt
18479658,18479658,2025-01-23 00:00:00+00,9658,hour_00,,0,2025-01-23 00:00:00
18479658,18479658,2025-01-24 00:00:00+00,9658,hour_00,68.0,0,2025-01-24 00:00:00
17126149,17126149,2025-01-24 00:00:00+00,7126,hour_00,162.0,0,2025-01-24 00:00:00
17126148,17126148,2025-01-24 00:00:00+00,7126,hour_00,113.0,0,2025-01-24 00:00:00
17126147,17126147,2025-01-24 00:00:00+00,7126,hour_00,7.0,0,2025-01-24 00:00:00
17126148,17126148,2025-01-24 00:00:00+00,7126,hour_00,26.0,0,2025-01-24 00:00:00
18479658,18479658,2025-01-24 00:00:00+00,9658,hour_00,3.0,0,2025-01-24 00:00:00
17126149,17126149,2025-01-24 00:00:00+00,7126,hour_00,15.0,0,2025-01-24 00:00:00
17126147,17126147,2025-01-24 00:00:00+00,7126,hour_00,2.0,0,2025-01-24 00:00:00
18479658,18479658,2025-01-25 00:00:00+00,9658,hour_00,46.0,0,2025-01-25 00:00:00
17126149,17126149,2025-01-25 00:00:00+00,7126,hour_00,322.0,0,2025-01-25 00:00:00
17126147,17126147,2025-01-25 00:00:00+00,7126,hour_00,1.0,0,2025-01-25 00:00:00
15334016,15334016,2025-01-25 00:00:00+00,34016,hour_00,8.0,0,2025-01-25 00:00:00
18479658,18479658,2025-01-25 00:00:00+00,9658,hour_00,4.0,0,2025-01-25 00:00:00
18479658,18479658,2025-01-25 00:00:00+00,9658,hour_00,5.0,0,2025-01-25 00:00:00
15334016,15334016,2025-01-25 00:00:00+00,34016,hour_00,180.0,0,2025-01-25 00:00:00
17126147,17126147,2025-01-25 00:00:00+00,7126,hour_00,,0,2025-01-25 00:00:00
17126149,17126149,2025-01-25 00:00:00+00,7126,hour_00,11.0,0,2025-01-25 00:00:00
18479658,18479658,2025-01-25 00:00:00+00,9658,hour_00,105.0,0,2025-01-25 00:00:00
17126148,17126148,2025-01-25 00:00:00+00,7126,hour_00,37.0,0,2025-01-25 00:00:00
17126148,17126148,2025-01-25 00:00:00+00,7126,hour_00,78.0,0,2025-01-25 00:00:00
17126148,17126148,2025-01-26 00:00:00+00,7126,hour_00,19.0,0,2025-01-26 00:00:00
18479658,18479658,2025-01-26 00:00:00+00,9658,hour_00,50.0,0,2025-01-26 00:00:00
15334016,15334016,2025-01-26 00:00:00+00,34016,hour_00,7.0,0,2025-01-26 00:00:00
18479658,18479658,2025-01-26 00:00:00+00,9658,hour_00,5.0,0,2025-01-26 00:00:00
17126149,17126149,2025-01-26 00:00:00+00,7126,hour_00,5.0,0,2025-01-26 00:00:00
18479658,18479658,2025-01-26 00:00:00+00,9658,hour_00,131.0,0,2025-01-26 00:00:00
18479658,18479658,2025-01-26 00:00:00+00,9658,hour_00,2.0,0,2025-01-26 00:00:00
17126148,17126148,2025-01-26 00:00:00+00,7126,hour_00,12.0,0,2025-01-26 00:00:00
17126149,17126149,2025-01-26 00:00:00+00,7126,hour_00,229.0,0,2025-01-26 00:00:00
15334016,15334016,2025-01-26 00:00:00+00,34016,hour_00,145.0,0,2025-01-26 00:00:00
